"","SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"98","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS26",153.949538241503,4.42735406290032,-3.22969852931465,54.6077438645613
"99","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS28",137.313265773854,4.18129979790974,-3.22969852931465,54.6077438645613
"100","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS32",18.8376765150731,1.54870509361595,-3.22969852931465,54.6077438645613
"101","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS01",308.052570525638,6.26278464143994,-3.22969852931465,54.6077438645613
"102","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS07",NA,NA,-3.22969852931465,54.6077438645613
"103","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS12",120.93705433256,3.9240519874232,-3.22969852931465,54.6077438645613
"104","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS16",117.461535512635,3.86725577121555,-3.22969852931465,54.6077438645613
"105","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS17",274.968782934575,5.91693440896551,-3.22969852931465,54.6077438645613
"106","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS20",107.497540871988,3.6995961941812,-3.22969852931465,54.6077438645613
"107","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS22",324.846272416108,6.43122943145399,-3.22969852931465,54.6077438645613
"108","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS26",186.09115173601,4.86763405892021,-3.22969852931465,54.6077438645613
"109","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS28",205.697362356489,5.11763632940052,-3.22969852931465,54.6077438645613
"110","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS32",53.3190120867954,2.60553017014043,-3.22969852931465,54.6077438645613
"111","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS01",213.301319283678,5.21136905866549,-3.22969852931465,54.6077438645613
"112","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS07",NA,NA,-3.22969852931465,54.6077438645613
"113","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS12",123.419163856308,3.96411604270107,-3.22969852931465,54.6077438645613
"114","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS16",127.901889847345,4.03546458291979,-3.22969852931465,54.6077438645613
"115","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS17",361.761129635514,6.78681498200739,-3.22969852931465,54.6077438645613
"116","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS20",168.857438405057,4.63676576936985,-3.22969852931465,54.6077438645613
"117","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS22",292.232582265102,6.09985311298559,-3.22969852931465,54.6077438645613
"118","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS26",148.281895658582,4.34509347794498,-3.22969852931465,54.6077438645613
"119","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS28",234.870537312916,5.46851402119442,-3.22969852931465,54.6077438645613
"120","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS32",91.0893647825271,3.4055628220005,-3.22969852931465,54.6077438645613
"121","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS01",206.304787194021,5.12518695584463,-3.22969852931465,54.6077438645613
"122","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS07",73.2270375803583,3.05344985207093,-3.22969852931465,54.6077438645613
"123","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS12",112.223721444122,3.78004867693526,-3.22969852931465,54.6077438645613
"124","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS16",149.560042167563,4.36378001278708,-3.22969852931465,54.6077438645613
"125","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS17",289.232455528704,6.06846108993046,-3.22969852931465,54.6077438645613
"126","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS20",172.393432883563,4.68506281708154,-3.22969852931465,54.6077438645613
"127","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS22",231.165864441653,5.42521446580686,-3.22969852931465,54.6077438645613
"128","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS26",99.462877860789,3.55865240400801,-3.22969852931465,54.6077438645613
