"SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS26",88.2876589222037,10.6024213579654,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS28",21.4041231382494,5.2203999846755,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1984","SS32",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS01",250.034026957196,17.8424552865148,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS07",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS12",59.366362215621,8.69411295072706,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS16",70.8568755762024,9.49830384858265,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS17",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS20",62.2273603797627,8.90114239859132,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS22",311.49569744356,19.9150355259538,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS26",132.413861957538,12.9843969946794,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS28",55.738890842227,8.42430768668856,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1985","SS32",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS01",296.889742033442,19.4425245270052,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS07",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS12",89.2039526023554,10.6572979689976,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS16",110.509278934835,11.8619047374357,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS17",214.319073836777,16.5190653488628,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS20",90.1150207550817,10.711582889564,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS22",347.37563864465,21.0307489167647,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS26",153.949538241503,14.0005228467654,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS28",137.313265773854,13.2224309413965,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1986","SS32",18.8376765150731,4.89743551973071,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS01",308.052570525638,19.8046639620712,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS07",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS12",120.93705433256,12.4089419371677,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS16",117.461535512635,12.2293365314722,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS17",274.968782934575,18.7109894981532,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS20",107.497540871988,11.6991503965032,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS22",324.846272416108,20.3373331585043,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS26",186.09115173601,15.3928104423981,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS28",205.697362356489,16.1833870373294,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1987","SS32",53.3190120867954,8.23940984992979,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS01",213.301319283678,16.4797959531106,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS07",NA,NA,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS12",123.419163856308,12.5356356041487,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS16",127.901889847345,12.761259498968,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS17",361.761129635514,21.461793401298,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS20",168.857438405057,14.6627408079117,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS22",292.232582265102,19.2894292295029,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS26",148.281895658582,13.7403920366487,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS28",234.870537312916,17.2929597235407,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1988","SS32",91.0893647825271,10.7693352323122,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS01",206.304787194021,16.2072642146539,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS07",73.2270375803583,9.65585625364835,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS12",112.223721444122,11.9535634854214,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS16",149.560042167563,13.7994840483259,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS17",289.232455528704,19.1901589362882,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS20",172.393432883563,14.8154694829425,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS22",231.165864441653,17.1560345068434,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS26",99.462877860789,11.253446997499,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS28",150.687647735531,13.8514068599547,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1989","SS32",81.6543661715637,10.1963507202293,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS01",305.325274357907,19.7168002809685,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS07",144.712313363473,13.5739986733637,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS12",172.061888044459,14.801216166248,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS16",199.175152113854,15.9247505474968,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS17",525.118726295193,25.857337991371,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS20",279.173968064223,18.8535231720758,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS22",274.779401446231,18.7045449022423,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS26",182.188288354058,15.2305394953692,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS28",309.607047338445,19.8545696503349,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1990","SS32",145.996125225804,13.6340764269385,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS01",356.717181143343,21.3116498966683,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS07",216.613734983237,16.6072626676837,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS12",179.18557505018,15.1045079363745,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS16",210.634852733689,16.3764655527376,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS17",552.771263593132,26.5294220065195,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS20",263.251641363149,18.3079873279397,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS22",334.598467163235,20.6403488342615,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS26",278.062457908124,18.8159537976389,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS28",369.312362268647,21.6846282882599,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1991","SS32",168.41314181793,14.6434378482541,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS01",317.41488106066,20.1033623718481,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS07",333.948366903136,20.6202877438895,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS12",225.829743655824,16.956867635268,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS16",225.423799619498,16.9416202294822,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS17",546.307135115476,26.373847804217,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS20",276.407626086734,18.7598805966349,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS22",346.92708204557,21.0171663170847,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS26",271.44997504944,18.5908806313827,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS28",354.116101612115,21.2338085137829,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1992","SS32",183.653361732869,15.2916553283757,-3.22969852931465,54.6077438645613
"2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1993","SS01",427.731592929372,23.3367688134035,-3.22969852931465,54.6077438645613
